Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);BUREAU:Zone Operative Temperature [C](Hourly);BUREAU IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly);BUREAU:Zone Heat Index [C](Hourly) 
 01/08  24:00:00;23.649999999999995;26.705234591085688;0.0;0.0 
 01/09  01:00:00;23.34166666666667;26.385418968814026;0.0;0.0 
 01/09  02:00:00;23.3;26.213847815916427;0.0;0.0 
 01/09  03:00:00;23.241666666666664;26.045602787365265;0.0;0.0 
 01/09  04:00:00;23.083333333333332;25.830156035489935;0.0;0.0 
 01/09  05:00:00;23.0;25.65583402422156;0.0;0.0 
 01/09  06:00:00;22.650000000000002;25.357165015657703;0.0;0.0 
 01/09  07:00:00;22.166666666666668;26.768357126974696;728231.5384718546;0.0 
 01/09  08:00:00;22.0;26.878205487805673;893141.8782791992;0.0 
 01/09  09:00:00;21.76666666666667;26.947006695500846;954817.23023191;0.0 
 01/09  10:00:00;23.583333333333332;27.136262393338438;1201211.021723932;0.0 
 01/09  11:00:00;26.166666666666668;27.42641116502656;1679989.7970311083;0.0 
 01/09  12:00:00;28.516666666666666;27.75456578963507;2333431.8438803754;0.0 
 01/09  13:00:00;30.066666666666666;28.095216726358814;3125774.4125372935;0.0 
 01/09  14:00:00;30.925;28.418519014953898;3966536.5062631886;0.0 
 01/09  15:00:00;31.76666666666667;28.704356648561916;4750631.488492077;0.0 
 01/09  16:00:00;32.041666666666664;28.90210031235352;5316736.369366858;0.0 
 01/09  17:00:00;31.416666666666668;28.942691938160795;5463147.025315368;0.0 
 01/09  18:00:00;30.358333333333334;28.827167583543797;5172697.907841505;0.0 
 01/09  19:00:00;28.208333333333332;28.625095893991045;4629078.721440349;0.0 
 01/09  20:00:00;26.3;28.421300583779484;4058408.5778872916;0.0 
 01/09  21:00:00;25.099999999999998;28.249345888240484;3571579.105411808;0.0 
 01/09  22:00:00;24.25;28.097067200320883;3163104.608043117;0.0 
 01/09  23:00:00;23.416666666666668;26.766388706643855;0.0;0.0 
 01/09  24:00:00;23.058333333333337;26.341493860308915;0.0;0.0 
 01/10  01:00:00;22.51666666666667;25.881183417825195;0.0;0.0 
 01/10  02:00:00;21.575;25.19118461562492;0.0;0.0 
 01/10  03:00:00;20.616666666666667;24.474992454186182;0.0;0.0 
 01/10  04:00:00;20.083333333333332;23.961237111116706;0.0;0.0 
